customer_id,first_name,last_name,email,age,city,state,segment,join_date,is_active
C00001,Mary,Williams,customer1@email.com,59,San Jose,CA,Regular,2023-08-15,True
C00002,Jennifer,Johnson,customer2@email.com,71,Philadelphia,PA,Wholesale,2022-05-05,False
C00003,Mary,Smith,customer3@email.com,37,Philadelphia,PA,Premium,2021-08-15,True
C00004,Vikram,Kumar,customer4@email.com,26,San Jose,CA,Wholesale,2022-07-19,True
C00005,David,Garcia,customer5@email.com,64,San Antonio,TX,Wholesale,2020-08-18,True
C00006,Pooja,Taylor,customer6@email.com,68,Philadelphia,PA,Budget,2020-01-29,True
C00007,Vikram,Chaudhary,customer7@email.com,70,Philadelphia,PA,Wholesale,2023-06-05,True
C00008,Neha,Brown,customer8@email.com,29,Chicago,IL,Regular,2022-03-31,False
C00009,James,Wilson,customer9@email.com,42,Austin,TX,Regular,2021-05-23,False
C00010,Barbara,Smith,customer10@email.com,34,Dallas,TX,Budget,2021-11-06,True
C00011,Patricia,Patel,customer11@email.com,37,Los Angeles,CA,Regular,2023-09-29,False
C00012,Barbara,Brown,customer12@email.com,58,Portland,OR,Budget,2023-12-11,True
C00013,Linda,Jones,customer13@email.com,48,Charlotte,NC,Regular,2021-03-28,False
C00014,Jessica,Kumar,customer14@email.com,66,Charlotte,NC,Regular,2022-02-04,True
C00015,Abhinay,Patel,customer15@email.com,51,Charlotte,NC,Budget,2020-06-16,True
C00016,Mary,Miller,customer16@email.com,54,Nashville,TN,Regular,2020-08-17,True
C00017,Joseph,Brown,customer17@email.com,61,Austin,TX,Regular,2022-12-01,False
C00018,Joseph,Johnson,customer18@email.com,47,Chicago,IL,Regular,2022-11-11,False
C00019,Mary,Patel,customer19@email.com,61,Atlanta,GA,Budget,2023-02-28,True
C00020,James,Miller,customer20@email.com,55,Denver,CO,Premium,2021-06-05,True
C00021,Amit,Williams,customer21@email.com,52,Boston,MA,Premium,2021-12-06,True
C00022,Barbara,Sharma,customer22@email.com,29,Miami,FL,Regular,2020-03-05,False
C00023,Joseph,Chaudhary,customer23@email.com,42,Seattle,WA,Premium,2022-02-22,True
C00024,Jennifer,Chaudhary,customer24@email.com,51,Seattle,WA,Regular,2020-08-30,True
C00025,Barbara,Patel,customer25@email.com,61,New York,NY,Wholesale,2020-02-16,False
